iter	Passed	Remaining
200	1217	6051
201	1222	6040
202	1228	6031
203	1233	6020
204	1238	6011
205	1244	6004
206	1249	5996
207	1257	5998
208	1263	5989
209	1268	5981
210	1273	5970
211	1279	5961
212	1284	5951
213	1289	5940
214	1294	5932
215	1300	5922
216	1305	5913
217	1310	5904
218	1315	5894
219	1321	5885
220	1325	5873
221	1331	5867
222	1337	5860
223	1346	5868
224	1353	5865
225	1361	5868
226	1368	5865
227	1375	5861
228	1380	5853
229	1387	5853
230	1393	5845
231	1398	5835
232	1403	5824
233	1409	5818
234	1414	5808
235	1419	5797
236	1424	5786
237	1430	5780
238	1436	5774
239	1441	5764
240	1446	5756
241	1451	5747
242	1456	5738
243	1461	5727
244	1466	5717
245	1472	5711
246	1477	5702
247	1483	5693
248	1487	5682
249	1493	5676
250	1499	5669
251	1505	5661
252	1510	5652
253	1515	5644
254	1520	5636
255	1526	5627
256	1531	5618
257	1536	5609
258	1541	5602
259	1547	5593
260	1552	5585
261	1557	5576
262	1563	5570
263	1569	5562
264	1574	5554
265	1579	5545
266	1584	5537
267	1590	5531
268	1596	5525
269	1601	5516
270	1607	5511
271	1614	5506
272	1619	5497
273	1624	5491
274	1629	5482
275	1635	5474
276	1640	5465
277	1645	5456
278	1652	5453
279	1657	5445
280	1666	5449
281	1671	5441
282	1676	5432
283	1681	5423
284	1688	5419
285	1693	5413
286	1705	5424
287	1722	5455
288	1735	5471
289	1752	5498
290	1762	5506
291	1770	5505
292	1778	5506
293	1786	5504
294	1797	5513
295	1809	5524
296	1817	5526
297	1824	5521
298	1832	5521
299	1838	5515
300	1846	5515
301	1852	5508
302	1860	5507
303	1867	5503
304	1873	5498
305	1879	5491
306	1886	5486
307	1892	5480
308	1900	5479
309	1908	5478
310	1913	5470
311	1921	5467
312	1927	5463
313	1939	5471
314	1946	5468
315	1953	5463
316	1959	5458
317	1965	5450
318	1970	5443
319	1975	5433
320	1981	5424
321	1987	5418
322	1992	5409
323	1997	5400
324	2002	5391
325	2008	5384
326	2013	5375
327	2019	5369
328	2025	5361
329	2031	5356
330	2037	5349
331	2043	5342
332	2049	5334
333	2054	5327
334	2060	5319
335	2066	5313
336	2071	5305
337	2077	5298
338	2082	5289
339	2087	5281
340	2093	5272
341	2098	5264
342	2104	5258
343	2110	5251
344	2116	5244
345	2121	5235
346	2126	5227
347	2132	5219
348	2137	5212
349	2143	5204
350	2149	5198
351	2155	5192
352	2167	5201
353	2177	5203
354	2184	5200
355	2191	5196
356	2200	5196
357	2207	5191
358	2215	5190
359	2222	5185
360	2229	5181
361	2236	5176
362	2241	5168
363	2247	5162
364	2253	5155
365	2258	5147
366	2264	5140
367	2271	5135
368	2277	5129
369	2282	5121
370	2289	5115
371	2295	5108
372	2301	5102
373	2306	5094
374	2313	5090
375	2318	5081
376	2325	5077
377	2331	5069
378	2337	5064
379	2343	5056
380	2351	5054
381	2356	5046
382	2363	5041
383	2368	5032
384	2376	5030
385	2382	5025
386	2391	5024
387	2397	5016
388	2403	5011
389	2408	5002
390	2415	4998
391	2421	4990
392	2428	4986
393	2434	4979
394	2440	4973
395	2446	4967
396	2452	4960
397	2457	4952
398	2464	4948
399	2469	4939
400	2478	4938
401	2485	4933
402	2492	4928
403	2507	4941
404	2518	4943
405	2524	4937
406	2530	4930
407	2536	4923
408	2541	4915
409	2547	4908
410	2552	4900
411	2557	4892
412	2571	4900
413	2579	4897
414	2587	4894
415	2597	4894
416	2604	4889
417	2609	4881
418	2614	4873
